city;country;elevation;population
Kingston;Jamaica;9;670000
Pyongyang;North Korea;38;3000000
Bandar Seri Begawan;Brunei;16;100000
Skopje;North Macedonia;240;500000
Doha;Qatar;10;2100000
Naypyidaw;Myanmar;115;930000
Bratislava;Slovakia;134;430000
Baku;Azerbaijan;-28;2200000
Manila;Philippines;16;1780000
Maputo;Mozambique;47;1190000
N'Djamena;Chad;295;1600000
Tashkent;Uzbekistan;455;2500000
Georgetown;Guyana;2;200000
Nassau;Bahamas;0;275000
Ngerulmud;Palau;242;400
Kinshasa;Democratic Republic of the Congo;240;11000000
Lima;Peru;1549;8500000
Copenhagen;Denmark;1;800000
Jerusalem;Israel;754;900000
Mexico City;Mexico;2250;9200000
Porto-Novo;Benin;38;270000
Riga;Latvia;6;630000
Dushanbe;Tajikistan;803;900000
Andorra la Vella;Andorra;1023;22000
Ouagadougou;Burkina Faso;305;2800000
Vaduz;Liechtenstein;455;5500
Accra;Ghana;61;2300000
Managua;Nicaragua;82;1040000
Wellington;New Zealand;196;215000
Bern;Switzerland;540;133000
Chisinau;Moldova;85;700000
Bogotá;Colombia;2640;7600000
Yamoussoukro;Ivory Coast;213;355000
Tegucigalpa;Honduras;990;1120000
Roseau;Dominica;3;15000
Kigali;Rwanda;1567;1300000
Havana;Cuba;59;2100000
Ljubljana;Slovenia;295;280000
Port Moresby;Papua New Guinea;58;365000
Oslo;Norway;23;700000
Reykjavik;Iceland;13;130000
Beirut;Lebanon;50;2200000
Lisbon;Portugal;2;505000
Hanoi;Vietnam;15;8000000
Islamabad;Pakistan;540;1010000
Niamey;Niger;207;1300000
Kampala;Uganda;1190;1700000
Brussels;Belgium;13;1200000
Brazzaville;Republic of the Congo;320;2000000
Victoria;Seychelles;2;26000
